iter	Logloss
0	0.6649593599
1	0.6410027161
2	0.6180085503
3	0.5984505729
4	0.5790813004
5	0.562201459
6	0.5456238319
7	0.5317309242
8	0.5184465671
9	0.5060906483
10	0.4952805063
11	0.486006438
12	0.4771640855
13	0.4689100537
14	0.4608521368
15	0.4542533325
16	0.4479990477
17	0.4417481002
18	0.436062702
19	0.4309138608
20	0.4262211622
21	0.4221795004
22	0.4179543303
23	0.4141171278
24	0.4108055066
25	0.4079153493
26	0.4046304542
27	0.4023173222
28	0.3996717919
29	0.3974801896
30	0.3953540354
31	0.3934929617
32	0.3916291805
33	0.3897754977
34	0.388060647
35	0.3862360067
36	0.3847044069
37	0.3832744796
38	0.3819949191
39	0.3805653339
40	0.3793844151
41	0.3781246483
42	0.3770059124
43	0.3760111718
44	0.3751922582
45	0.3743199022
46	0.3734705726
47	0.3727684684
48	0.3719349209
49	0.3712360243
50	0.370478947
51	0.3696447688
52	0.3689485717
53	0.3683066317
54	0.3678745577
55	0.3673215466
56	0.3667177695
57	0.3662344505
58	0.3657803567
59	0.3651633404
60	0.3645994875
61	0.3640503616
62	0.363678469
63	0.363334547
64	0.3629812454
65	0.3624765827
66	0.3620691754
67	0.3615765944
68	0.3611885043
69	0.360809083
70	0.3605276224
71	0.3601404344
72	0.3598185165
73	0.3595237347
74	0.3591638206
75	0.3587489035
76	0.3584200099
77	0.3581439191
78	0.3577837293
79	0.357484894
80	0.3572654289
81	0.3570256865
82	0.3567089231
83	0.3564846837
84	0.3561686374
85	0.355881949
86	0.355598181
87	0.3554113724
88	0.3551514606
89	0.3549437083
90	0.3547765087
91	0.3545905887
92	0.3543148229
93	0.3541114014
94	0.3538178363
95	0.3535740224
96	0.3533867474
97	0.3531518919
98	0.35293818
99	0.352713148
100	0.3525002285
101	0.3523336338
102	0.3521708455
103	0.3520101472
104	0.3518664234
105	0.3516466277
106	0.351487035
107	0.3513612795
108	0.3511015545
109	0.3509535914
110	0.3507236257
111	0.3505919821
